"Day","Month","Year","Hour","Site","Parameter","Date__LT_","AQI","Raw_Conc_","Conc__Unit","Duration","QC_Name","AQI_Category","NowCast_Conc_","Date","tempC","windspeedKmph","weatherDesc","humidity","visibility","weatherDescNew","windspeed_Cat","humidity_cat"
1,12,2018,20,"Ho Chi Minh City","PM2.5 - Principal","01DEC18:20:00:00",73,24,"UG/M3","1 Hr","Valid","Moderate",22.4,"01-12-2018",27,9,"Clear",81,9,"Clear","Medium","Humid"
1,12,2018,21,"Ho Chi Minh City","PM2.5 - Principal","01DEC18:21:00:00",65,15,"UG/M3","1 Hr","Valid","Moderate",18.7,"01-12-2018",27,8,"Clear",83,10,"Clear","Medium","Humid"
1,12,2018,22,"Ho Chi Minh City","PM2.5 - Principal","01DEC18:22:00:00",59,13,"UG/M3","1 Hr","Valid","Moderate",15.8,"01-12-2018",26,8,"Clear",83,10,"Clear","Medium","Humid"
1,12,2018,23,"Ho Chi Minh City","PM2.5 - Principal","01DEC18:23:00:00",66,23,"UG/M3","1 Hr","Valid","Moderate",19.4,"01-12-2018",26,7,"Clear",84,10,"Clear","Medium","Humid"
1,12,2018,3,"Ho Chi Minh City","PM2.5 - Principal","01DEC18:03:00:00",68,22,"UG/M3","1 Hr","Valid","Moderate",20,"01-12-2018",25,4,"Clear",85,10,"Clear","Low","Humid"
1,12,2018,4,"Ho Chi Minh City","PM2.5 - Principal","01DEC18:04:00:00",76,28,"UG/M3","1 Hr","Valid","Moderate",24,"01-12-2018",26,5,"Clear",85,10,"Clear","Low","Humid"
1,12,2018,5,"Ho Chi Minh City","PM2.5 - Principal","01DEC18:05:00:00",77,25,"UG/M3","1 Hr","Valid","Moderate",24.5,"01-12-2018",26,6,"Clear",84,10,"Clear","Low","Humid"
1,12,2018,6,"Ho Chi Minh City","PM2.5 - Principal","01DEC18:06:00:00",111,55,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",39.7,"01-12-2018",26,6,"Sunny",84,10,"Sunny","Low","Humid"
1,12,2018,7,"Ho Chi Minh City","PM2.5 - Principal","01DEC18:07:00:00",141,64,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",51.8,"01-12-2018",28,6,"Sunny",78,10,"Sunny","Low","Humid"
1,12,2018,8,"Ho Chi Minh City","PM2.5 - Principal","01DEC18:08:00:00",122,36,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",43.9,"01-12-2018",29,6,"Sunny",73,10,"Sunny","Low","Humid"
1,12,2018,9,"Ho Chi Minh City","PM2.5 - Principal","01DEC18:09:00:00",112,36,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",39.9,"01-12-2018",31,6,"Sunny",68,10,"Sunny","Low","Humid"
